"","Year","Genre","Sales"
"1",2000,"Racing",6.82
"2",2000,"Sports",10.54
"3",2000,"Strategy",2.94
"4",2000,"Simulation",1.65
"5",2000,"Role-Playing",1.57
"6",2000,"Puzzle",0.88
"7",2000,"Shooter",1.52
"8",2000,"Platform",0.08
"9",2000,"Fighting",7.02
"10",2000,"Adventure",0.17
"11",2000,"Misc",2.99
"12",2000,"Action",1.16
"13",2001,"Racing",27.36
"14",2001,"Sports",34.22
"15",2001,"Strategy",0.71
"16",2001,"Simulation",14.22
"17",2001,"Role-Playing",4.07
"18",2001,"Puzzle",0.29
"19",2001,"Shooter",14
"20",2001,"Platform",12.76
"21",2001,"Fighting",6.23
"22",2001,"Adventure",2.14
"23",2001,"Misc",5.57
"24",2001,"Action",26.09
"25",2002,"Racing",26.09
"26",2002,"Sports",56.53
"27",2002,"Strategy",4.31
"28",2002,"Simulation",12.08
"29",2002,"Role-Playing",8.37
"30",2002,"Puzzle",2.25
"31",2002,"Shooter",38.87
"32",2002,"Platform",16.99
"33",2002,"Fighting",14.9
"34",2002,"Adventure",7.05
"35",2002,"Misc",7.25
"36",2002,"Action",50.37
"37",2002,"Party",0.09
"38",2003,"Racing",38.76
"39",2003,"Sports",56.21
"40",2003,"Strategy",3.4
"41",2003,"Simulation",17.31
"42",2003,"Role-Playing",12.94
"43",2003,"Puzzle",0.49
"44",2003,"Shooter",24.98
"45",2003,"Platform",14.95
"46",2003,"Fighting",12.67
"47",2003,"Adventure",7.99
"48",2003,"Misc",12.43
"49",2003,"Action",46.82
"50",2004,"Racing",27.06
"51",2004,"Sports",56.1
"52",2004,"Strategy",3.96
"53",2004,"Simulation",7.81
"54",2004,"Role-Playing",12.62
"55",2004,"Puzzle",0.8
"56",2004,"Shooter",33.8
"57",2004,"Platform",19.07
"58",2004,"Fighting",15.54
"59",2004,"Adventure",8.45
"60",2004,"Misc",12.49
"61",2004,"Action",24.56
"62",2004,"MMO",0.32
"63",2004,"Party",0.08
"64",2005,"Racing",19.82
"65",2005,"Sports",42.35
"66",2005,"Strategy",2.98
"67",2005,"Simulation",5.43
"68",2005,"Role-Playing",8.75
"69",2005,"Puzzle",0.54
"70",2005,"Shooter",34.23
"71",2005,"Platform",5.49
"72",2005,"Fighting",11.56
"73",2005,"Adventure",10.72
"74",2005,"Misc",16.61
"75",2005,"Action",41.19
"76",2005,"Action-Adventure",0.71
"77",2006,"Racing",9.92
"78",2006,"Sports",33.04
"79",2006,"Strategy",1.37
"80",2006,"Simulation",4.72
"81",2006,"Role-Playing",7.53
"82",2006,"Puzzle",0.05
"83",2006,"Shooter",13.81
"84",2006,"Platform",1.46
"85",2006,"Fighting",8.83
"86",2006,"Adventure",6.13
"87",2006,"Misc",11.71
"88",2006,"Action",18.8
"89",2007,"Racing",15.22
"90",2007,"Sports",30.82
"91",2007,"Strategy",2.89
"92",2007,"Simulation",3.92
"93",2007,"Role-Playing",11.13
"94",2007,"Puzzle",0.47
"95",2007,"Shooter",18.91
"96",2007,"Platform",8.89
"97",2007,"Fighting",5.8
"98",2007,"Adventure",3.17
"99",2007,"Misc",20.72
"100",2007,"Action",28.11
"101",2008,"Racing",12.89
"102",2008,"Sports",35.83
"103",2008,"Strategy",5.04
"104",2008,"Simulation",3.67
"105",2008,"Role-Playing",10.45
"106",2008,"Puzzle",0.3
"107",2008,"Shooter",30.76
"108",2008,"Platform",14.41
"109",2008,"Fighting",9.16
"110",2008,"Adventure",12.8
"111",2008,"Misc",23.23
"112",2008,"Action",35.38
"113",2008,"Action-Adventure",0.28
"114",2009,"Racing",9.84
"115",2009,"Sports",23.88
"116",2009,"Strategy",2.73
"117",2009,"Simulation",12.08
"118",2009,"Role-Playing",7.86
"119",2009,"Puzzle",0.49
"120",2009,"Shooter",24.27
"121",2009,"Platform",4.05
"122",2009,"Fighting",13.64
"123",2009,"Adventure",5.56
"124",2009,"Misc",18.82
"125",2009,"Action",42.56
"126",2010,"Racing",9.38
"127",2010,"Sports",33.88
"128",2010,"Strategy",3.99
"129",2010,"Simulation",7.19
"130",2010,"Role-Playing",14.63
"131",2010,"Puzzle",0.05
"132",2010,"Shooter",30.79
"133",2010,"Platform",1.5
"134",2010,"Fighting",5.4
"135",2010,"Adventure",8.68
"136",2010,"Misc",7
"137",2010,"Action",25.79
"138",2010,"MMO",1.58
"139",2010,"Visual Novel",0.07
"140",2011,"Racing",10.82
"141",2011,"Sports",22.79
"142",2011,"Strategy",3.01
"143",2011,"Simulation",4.3
"144",2011,"Role-Playing",26.53
"145",2011,"Puzzle",1.51
"146",2011,"Shooter",48.62
"147",2011,"Platform",7.7
"148",2011,"Fighting",11.42
"149",2011,"Adventure",7.14
"150",2011,"Misc",5.61
"151",2011,"Action",49.08
"152",2011,"MMO",0.78
"153",2011,"Music",0.13
"154",2011,"Visual Novel",0.02
"155",2011,"Party",0.04
"156",2012,"Racing",6.4
"157",2012,"Sports",24.72
"158",2012,"Strategy",1.89
"159",2012,"Simulation",1.82
"160",2012,"Role-Playing",10.29
"161",2012,"Puzzle",0.17
"162",2012,"Shooter",32.09
"163",2012,"Platform",2.23
"164",2012,"Fighting",5.38
"165",2012,"Adventure",1.76
"166",2012,"Misc",4.73
"167",2012,"Action",13.57
"168",2012,"Action-Adventure",12.07
"169",2012,"Music",0.45
"170",2012,"Visual Novel",0.13
"171",2013,"Racing",7.47
"172",2013,"Sports",25.74
"173",2013,"Strategy",0.27
"174",2013,"Simulation",2.72
"175",2013,"Role-Playing",1.23
"176",2013,"Puzzle",0.73
"177",2013,"Shooter",38.6
"178",2013,"Platform",1.87
"179",2013,"Fighting",3.7
"180",2013,"Adventure",1.75
"181",2013,"Misc",6.7
"182",2013,"Action",42.57
"183",2013,"MMO",0.87
"184",2013,"Action-Adventure",18.51
"185",2013,"Music",2.69
"186",2013,"Visual Novel",0.06
"187",2014,"Racing",5.25
"188",2014,"Sports",33.48
"189",2014,"Strategy",0.15
"190",2014,"Simulation",5.73
"191",2014,"Role-Playing",12.49
"192",2014,"Puzzle",0.07
"193",2014,"Shooter",51.65
"194",2014,"Platform",6.63
"195",2014,"Fighting",4.76
"196",2014,"Adventure",4.12
"197",2014,"Misc",26.11
"198",2014,"Action",53.45
"199",2014,"MMO",1.97
"200",2014,"Action-Adventure",21.31
"201",2014,"Music",2.04
"202",2014,"Visual Novel",0.17
"203",2015,"Racing",7.71
"204",2015,"Sports",37.93
"205",2015,"Strategy",1.66
"206",2015,"Simulation",2.49
"207",2015,"Role-Playing",28.68
"208",2015,"Puzzle",0.08
"209",2015,"Shooter",63.28
"210",2015,"Platform",0.32
"211",2015,"Fighting",8.78
"212",2015,"Adventure",5.56
"213",2015,"Misc",2.54
"214",2015,"Action",42.52
"215",2015,"MMO",3.67
"216",2015,"Action-Adventure",5.08
"217",2015,"Music",4.91
"218",2015,"Visual Novel",0.22
"219",2016,"Racing",2.83
"220",2016,"Sports",42.13
"221",2016,"Strategy",1.36
"222",2016,"Simulation",3.49
"223",2016,"Role-Playing",17.31
"224",2016,"Puzzle",0.16
"225",2016,"Shooter",61.87
"226",2016,"Platform",4.3
"227",2016,"Fighting",3.76
"228",2016,"Adventure",4.15
"229",2016,"Misc",3.19
"230",2016,"Action",21.75
"231",2016,"Action-Adventure",15.27
"232",2016,"Music",2.81
"233",2016,"Visual Novel",0.22
"234",2017,"Racing",14.53
"235",2017,"Sports",32.3
"236",2017,"Strategy",1.31
"237",2017,"Simulation",4.39
"238",2017,"Role-Playing",11.49
"239",2017,"Puzzle",0.16
"240",2017,"Shooter",48.49
"241",2017,"Platform",8.74
"242",2017,"Fighting",5.24
"243",2017,"Adventure",5.21
"244",2017,"Misc",2.38
"245",2017,"Action",31.01
"246",2017,"MMO",0.81
"247",2017,"Action-Adventure",0.65
"248",2017,"Music",0.96
"249",2017,"Visual Novel",0.28
"250",2017,"Party",0.67
"251",2018,"Racing",6.04
"252",2018,"Sports",24.9
"253",2018,"Strategy",0.55
"254",2018,"Simulation",3.85
"255",2018,"Role-Playing",10.43
"256",2018,"Puzzle",0.74
"257",2018,"Shooter",20.49
"258",2018,"Platform",5.35
"259",2018,"Fighting",6.16
"260",2018,"Adventure",1.33
"261",2018,"Misc",0.62
"262",2018,"Action",23.92
"263",2018,"MMO",0.23
"264",2018,"Action-Adventure",33.99
"265",2018,"Music",0.62
"266",2018,"Visual Novel",0.09
"267",2018,"Party",0.11
"268",2019,"Role-Playing",0.38
"269",2019,"Platform",0.14
"270",2019,"Adventure",0.15
"271",2019,"Misc",0.01
"272",2019,"Action",0.16
"273",2019,"Action-Adventure",0.25
"274",2019,"Visual Novel",0.03
"275",2020,"Sports",0.03
"276",2020,"Role-Playing",0.02
"277",2020,"Misc",0.15
"278",2020,"Action",0.38
