"","X","Name","Genre","Platform","Global_Sales","NA_Sales","JP_Sales","PAL_Sales","Other_Sales","Year","Total_Sales"
"1",718,"Alien: Isolation","Adventure","PC",0.14,0,0.00999999999999998,0.14,0.01,2014,0.15
"2",4336,"Alien: Isolation","Adventure","PS4",1.09,0.29,0.05,0.59,0.16,2014,1.09
"3",4373,"Alien: Isolation","Adventure","XOne",0.52,0.23,0,0.25,0.04,2014,0.52
"4",4221,"Assassin's Creed IV: Black Flag","Action-Adventure","PC",0.63,0.24,0,0.34,0.05,2013,0.63
"5",4191,"Assassin's Creed IV: Black Flag","Action-Adventure","PS4",3.19,1.07,0.06,1.55,0.51,2013,3.19
"6",4196,"Assassin's Creed IV: Black Flag","Action","XOne",2.32,1.51,0,0.59,0.22,2013,2.32
"7",5494,"Assassin's Creed Odyssey","Action-Adventure","PC",0.06,0,0,0.06,0,2018,0.06
"8",5366,"Assassin's Creed Odyssey","Action-Adventure","PS4",3.18,1.18,0.09,1.4,0.51,2018,3.18
"9",5375,"Assassin's Creed Odyssey","Action-Adventure","XOne",1.39,0.91,0,0.35,0.13,2018,1.39
"10",4600,"Assassin's Creed Syndicate","Action","PC",0.26,0.15,0,0.09,0.02,2015,0.26
"11",6511,"Assassin's Creed Syndicate","Action","PS4",3.6,0.9,0.0100000000000002,2.06,0.55,2015,3.59
"12",4538,"Assassin's Creed Syndicate","Action","XOne",1.44,0.71,0,0.61,0.12,2015,1.44
"13",6488,"Assassin's Creed: Unity","Action","PC",0.56,0.2,0.01,0.31,0.04,2014,0.55
"14",689,"Assassin's Creed: Unity","Action","PS4",4.14,1.25,0.0100000000000007,2.16,0.65,2014,4.15
"15",4315,"Assassin's Creed: Unity","Action","XOne",3.58,2.34,0,0.9,0.34,2014,3.58
"16",4298,"Battle Worlds: Kronos","Strategy","PC",0.01,0,0,0.01,0,2013,0.01
"17",5027,"Battle Worlds: Kronos","Strategy","PS4",0.01,0.01,0,0,0,2016,0.01
"18",5041,"Battle Worlds: Kronos","Strategy","XOne",0.01,0.01,0,0,0,2016,0.01
"19",4847,"Battleborn","Shooter","PC",0.2,0.12,0,0.06,0.02,2016,0.2
"20",4807,"Battleborn","Shooter","PS4",0.48,0.25,0.03,0.12,0.08,2016,0.48
"21",4833,"Battleborn","Shooter","XOne",0.28,0.2,0,0.05,0.03,2016,0.28
"22",4795,"Battlefield 1","Shooter","PC",0.77,0.3,0,0.41,0.06,2016,0.77
"23",4768,"Battlefield 1","Shooter","PS4",7.26,2.2,0.29,3.65,1.12,2016,7.26
"24",4769,"Battlefield 1","Shooter","XOne",5.13,3.37,0.02,1.26,0.48,2016,5.13
"25",4203,"Battlefield 4","Shooter","PC",1.39,0.44,0,0.85,0.1,2013,1.39
"26",662,"Battlefield 4","Shooter","PS4",3.94,1.4,0.0100000000000002,1.74,0.62,2013,3.95
"27",664,"Battlefield 4","Shooter","XOne",2.09,1.26,0.0100000000000002,0.65,0.19,2013,2.1
"28",5466,"Battlefield V","Shooter","PC",0.1,0,0,0.09,0.01,2018,0.1
"29",878,"Battlefield V","Shooter","PS4",2.22,0.8,0.00999999999999979,0.93,0.34,2018,2.23
"30",5373,"Battlefield V","Shooter","XOne",1.55,1.05,0,0.35,0.15,2018,1.55
"31",4631,"Battlefield: Hardline","Shooter","PC",0.14,0,0,0.13,0.01,2015,0.14
"32",729,"Battlefield: Hardline","Shooter","PS4",2.15,0.72,0.0100000000000002,0.97,0.33,2015,2.16
"33",4545,"Battlefield: Hardline","Shooter","XOne",1.24,0.73,0.01,0.39,0.11,2015,1.24
"34",4383,"Call of Duty: Advanced Warfare","Shooter","PC",0.42,0.17,0,0.22,0.03,2014,0.42
"35",686,"Call of Duty: Advanced Warfare","Shooter","PS4",7.53,2.84,0.00999999999999979,3.34,1.22,2014,7.54
"36",688,"Call of Duty: Advanced Warfare","Shooter","XOne",5.22,3.25,0.0100000000000007,1.49,0.48,2014,5.23
"37",4597,"Call of Duty: Black Ops 3","Shooter","PC",0.3,0,0,0.28,0.02,2015,0.3
"38",6508,"Call of Duty: Black Ops 3","Shooter","PS4",15.09,6.18,0.00999999999999979,6.05,2.44,2015,15.08
"39",4519,"Call of Duty: Black Ops 3","Shooter","XOne",7.37,4.63,0.02,2.04,0.68,2015,7.37
"40",5441,"Call of Duty: Black Ops IIII","Shooter","PC",0.13,0.05,0,0.07,0.01,2018,0.13
"41",5361,"Call of Duty: Black Ops IIII","Shooter","PS4",9.32,4.05,0.5,3.28,1.49,2018,9.32
"42",5365,"Call of Duty: Black Ops IIII","Shooter","XOne",4.85,3.27,0,1.12,0.46,2018,4.85
"43",4219,"Call of Duty: Ghosts","Shooter","PC",0.67,0.26,0,0.36,0.05,2013,0.67
"44",4189,"Call of Duty: Ghosts","Shooter","PS4",4.17,1.79,0.05,1.64,0.69,2013,4.17
"45",6445,"Call of Duty: Ghosts","Shooter","XOne",3.07,1.92,0.00999999999999979,0.86,0.28,2013,3.06
"46",794,"Call of Duty: Infinite Warfare","Shooter","PC",0.33,0.12,0.01,0.19,0.03,2016,0.34
"47",770,"Call of Duty: Infinite Warfare","Shooter","PS4",8.48,3.11,0.00999999999999979,3.83,1.36,2016,8.49
"48",4771,"Call of Duty: Infinite Warfare","Shooter","XOne",4.79,2.91,0,1.44,0.44,2016,4.79
"49",5128,"Call of Duty: WWII","Shooter","PC",0.19,0.07,0,0.11,0.01,2017,0.19
"50",5050,"Call of Duty: WWII","Shooter","PS4",13.4,4.67,0.4,6.21,2.12,2017,13.4
"51",5051,"Call of Duty: WWII","Shooter","XOne",6.23,3.75,0,1.91,0.57,2017,6.23
"52",5641,"Darksiders III","Action","PC",0.01,0,0,0.01,0,2018,0.01
"53",6687,"Darksiders III","Action","PS4",0.25,0.13,0.01,0.07,0.04,2018,0.24
"54",5447,"Darksiders III","Action","XOne",0.12,0.11,0,0,0.01,2018,0.12
"55",5343,"Deformers","Action","PC",0.01,0.01,0,0,0,2017,0.01
"56",5215,"Deformers","Action","PS4",0.06,0.05,0,0,0.01,2017,0.06
"57",5238,"Deformers","Action","XOne",0.05,0.04,0,0,0.01,2017,0.05
"58",6629,"Destiny 2","Shooter","PC",0.16,0.09,0.01,0.05,0.01,2017,0.15
"59",824,"Destiny 2","Shooter","PS4",4.14,1.92,0.0100000000000007,1.44,0.69,2017,4.15
"60",827,"Destiny 2","Shooter","XOne",2.35,1.66,0.00999999999999979,0.47,0.23,2017,2.36
"61",5607,"Destiny 2: Forsaken","Shooter","PC",0.02,0,0,0.02,0,2018,0.02
"62",5399,"Destiny 2: Forsaken","Shooter","PS4",0.36,0.19,0,0.11,0.06,2018,0.36
"63",5439,"Destiny 2: Forsaken","Shooter","XOne",0.13,0.08,0,0.04,0.01,2018,0.13
"64",6590,"Deus Ex: Mankind Divided","Role-Playing","PC",0.07,0,0.01,0.06,0,2016,0.06
"65",4797,"Deus Ex: Mankind Divided","Role-Playing","PS4",0.72,0.25,0.01,0.34,0.12,2016,0.72
"66",792,"Deus Ex: Mankind Divided","Role-Playing","XOne",0.39,0.25,0.01,0.11,0.04,2016,0.4
"67",5331,"DiRT 4","Racing","PC",0.01,0,0,0.01,0,2017,0.01
"68",5088,"DiRT 4","Racing","PS4",0.49,0.1,0.02,0.3,0.07,2017,0.49
"69",5120,"DiRT 4","Racing","XOne",0.23,0.11,0,0.1,0.02,2017,0.23
"70",6547,"DiRT Rally","Racing","PC",0.04,0,0.01,0.03,0,2015,0.03
"71",4804,"DiRT Rally","Racing","PS4",0.51,0.13,0,0.3,0.08,2016,0.51
"72",798,"DiRT Rally","Racing","XOne",0.21,0.12,0.01,0.08,0.02,2016,0.22
"73",796,"Dishonored 2","Action","PC",0.26,0.08,0.01,0.17,0.02,2016,0.27
"74",6559,"Dishonored 2","Action","PS4",1.97,0.62,0.01,1.02,0.31,2016,1.96
"75",4792,"Dishonored 2","Action","XOne",0.86,0.47,0,0.31,0.08,2016,0.86
"76",4819,"Doom (2016)","Shooter","PC",0.38,0.11,0,0.24,0.03,2016,0.38
"77",6555,"Doom (2016)","Shooter","PS4",2.92,0.93,0.00999999999999979,1.48,0.46,2016,2.91
"78",778,"Doom (2016)","Shooter","XOne",1.45,0.76,0.01,0.57,0.13,2016,1.46
"79",4344,"Dragon Age: Inquisition","Role-Playing","PC",0.78,0.38,0,0.33,0.07,2014,0.78
"80",6474,"Dragon Age: Inquisition","Role-Playing","PS4",2.34,1.07,0.00999999999999979,0.8,0.38,2014,2.33
"81",4339,"Dragon Age: Inquisition","Role-Playing","XOne",0.99,0.63,0,0.27,0.09,2014,0.99
"82",4613,"Evolve","Misc","PC",0.22,0.1,0,0.1,0.02,2015,0.22
"83",6516,"Evolve","Shooter","PS4",1.01,0.38,0.01,0.41,0.16,2015,1
"84",6520,"Evolve","Shooter","XOne",0.67,0.4,0.01,0.2,0.06,2015,0.66
"85",4680,"F1 2015","Racing","PC",0.06,0,0,0.06,0,2015,0.06
"86",739,"F1 2015","Racing","PS4",0.68,0.1,0.0099999999999999,0.45,0.1,2015,0.69
"87",751,"F1 2015","Racing","XOne",0.25,0.09,0.01,0.15,0.02,2015,0.26
"88",5287,"F1 2017","Racing","PC",0.02,0,0,0.02,0,2017,0.02
"89",5074,"F1 2017","Racing","PS4",0.62,0.04,0.02,0.47,0.09,2017,0.62
"90",6628,"F1 2017","Racing","XOne",0.19,0.04,0.01,0.13,0.01,2017,0.18
"91",5629,"F1 2018","Racing","PC",0.01,0,0,0.01,0,2018,0.01
"92",5388,"F1 2018","Racing","PS4",0.53,0.05,0.01,0.39,0.08,2018,0.53
"93",6690,"F1 2018","Racing","XOne",0.17,0.05,0.01,0.1,0.01,2018,0.16
"94",4539,"Fallout 4","Role-Playing","PC",1.4,0.57,0,0.72,0.11,2015,1.4
"95",726,"Fallout 4","Role-Playing","PS4",8.48,2.91,0.00999999999999979,3.97,1.34,2015,8.49
"96",4522,"Fallout 4","Role-Playing","XOne",5.03,2.94,0.02,1.62,0.45,2015,5.03
"97",5423,"Fallout 76","Role-Playing","PC",0.21,0.12,0,0.07,0.02,2018,0.21
"98",6674,"Fallout 76","Role-Playing","PS4",1.32,0.52,0.01,0.49,0.2,2018,1.31
"99",883,"Fallout 76","Role-Playing","XOne",0.93,0.59,0.0099999999999999,0.26,0.09,2018,0.94
"100",4360,"Far Cry 4","Shooter","PC",0.65,0.19,0,0.41,0.05,2014,0.65
"101",4314,"Far Cry 4","Shooter","PS4",4.06,1.18,0.11,2.14,0.63,2014,4.06
"102",692,"Far Cry 4","Shooter","XOne",1.68,0.85,0.01,0.68,0.14,2014,1.69
"103",5478,"Far Cry 5","Action","PC",0.07,0,0,0.07,0,2018,0.07
"104",6672,"Far Cry 5","Action","PS4",3.95,1.44,0.0100000000000002,1.73,0.62,2018,3.94
"105",5371,"Far Cry 5","Action","XOne",1.78,1.14,0,0.47,0.17,2018,1.78
"106",4838,"Far Cry: Primal","Action-Adventure","PC",0.25,0.07,0,0.16,0.02,2016,0.25
"107",6556,"Far Cry: Primal","Action-Adventure","PS4",2.73,0.63,0.00999999999999979,1.61,0.41,2016,2.72
"108",783,"Far Cry: Primal","Action-Adventure","XOne",1,0.51,0.01,0.41,0.09,2016,1.01
"109",4785,"Farming Simulator 17","Simulation","PC",1.12,0.11,0,0.94,0.07,2016,1.12
"110",4793,"Farming Simulator 17","Simulation","PS4",0.85,0.19,0.01,0.52,0.13,2016,0.85
"111",4827,"Farming Simulator 17","Simulation","XOne",0.33,0.19,0,0.11,0.03,2016,0.33
"112",5386,"Farming Simulator 19","Simulation","PC",0.58,0,0,0.55,0.03,2018,0.58
"113",6679,"Farming Simulator 19","Simulation","PS4",0.47,0.13,0.00999999999999995,0.26,0.07,2018,0.46
"114",6685,"Farming Simulator 19","Simulation","XOne",0.32,0.19,0.01,0.09,0.03,2018,0.31
"115",4334,"Farming Simulator 2015","Simulation","PC",1.1,0.09,0,0.94,0.07,2014,1.1
"116",746,"Farming Simulator 2015","Simulation","PS4",0.41,0.13,0.01,0.22,0.07,2015,0.42
"117",4604,"Farming Simulator 2015","Simulation","XOne",0.24,0.13,0,0.09,0.02,2015,0.24
"118",4234,"FIFA 14","Sports","PC",0.38,0.01,0,0.35,0.02,2013,0.38
"119",4190,"FIFA 14","Sports","PS4",3.43,0.62,0.12,2.18,0.51,2013,3.43
"120",666,"FIFA 14","Sports","XOne",1.31,0.44,0.01,0.78,0.1,2013,1.32
"121",4397,"FIFA 15","Sports","PC",0.3,0,0,0.28,0.02,2014,0.3
"122",6473,"FIFA 15","Sports","PS4",6.32,0.83,0.0100000000000007,4.49,0.94,2014,6.31
"123",4321,"FIFA 15","Sports","XOne",2.19,0.64,0,1.39,0.16,2014,2.19
"124",753,"FIFA 16","Sports","PC",0.21,0.07,0.01,0.13,0.02,2015,0.22
"125",4517,"FIFA 16","Sports","PS4",8.22,1.15,0.07,5.77,1.23,2015,8.22
"126",728,"FIFA 16","Sports","XOne",3.25,0.92,0.00999999999999979,2.1,0.24,2015,3.26
"127",4849,"FIFA 17","Sports","PC",0.19,0,0,0.18,0.01,2016,0.19
"128",4767,"FIFA 17","Sports","PS4",10.94,1.26,0.12,7.95,1.61,2016,10.94
"129",4773,"FIFA 17","Sports","XOne",3.71,1.04,0,2.4,0.27,2016,3.71
"130",5188,"FIFA 18","Sports","PC",0.08,0,0,0.08,0,2017,0.08
"131",6602,"FIFA 18","Sports","PS4",11.8,1.27,0.0100000000000016,8.64,1.73,2017,11.79
"132",6606,"FIFA 18","Sports","XOne",3.14,0.98,0.0100000000000002,1.92,0.23,2017,3.13
"133",5246,"For Honor","Action","PC",0.04,0.02,0,0.02,0,2017,0.04
"134",6611,"For Honor","Action","PS4",1.75,0.73,0.01,0.66,0.28,2017,1.74
"135",6614,"For Honor","Action","XOne",0.87,0.57,0.01,0.21,0.08,2017,0.86
"136",5318,"Fortnite","Action","PC",0.02,0,0,0.02,0,2017,0.02
"137",5065,"Fortnite","Action","PS4",0.89,0.42,0,0.32,0.15,2017,0.89
"138",5066,"Fortnite","Action","XOne",0.77,0.6,0,0.09,0.08,2017,0.77
"139",5336,"Has-Been Heroes","Action","PC",0.01,0.01,0,0,0,2017,0.01
"140",5198,"Has-Been Heroes","Action","PS4",0.07,0.06,0,0,0.01,2017,0.07
"141",5237,"Has-Been Heroes","Action","XOne",0.05,0.04,0,0,0.01,2017,0.05
"142",4905,"Homefront: The Revolution","Shooter","PC",0.08,0.04,0,0.03,0.01,2016,0.08
"143",791,"Homefront: The Revolution","Shooter","PS4",0.5,0.11,0.01,0.29,0.07,2016,0.51
"144",4845,"Homefront: The Revolution","Shooter","XOne",0.21,0.1,0,0.09,0.02,2016,0.21
"145",4622,"Just Cause 3","Action-Adventure","PC",0.16,0.03,0,0.12,0.01,2015,0.16
"146",730,"Just Cause 3","Action-Adventure","PS4",1.98,0.53,0.01,1.07,0.3,2015,1.99
"147",734,"Just Cause 3","Action-Adventure","XOne",1.01,0.52,0.01,0.41,0.09,2015,1.02
"148",5339,"Le Tour de France 2017","Simulation","PC",0.01,0,0,0.01,0,2017,0.01
"149",5206,"Le Tour de France 2017","Simulation","PS4",0.07,0,0,0.06,0.01,2017,0.07
"150",6666,"Le Tour de France 2017","Simulation","XOne",0.02,0,0.01,0.01,0,2017,0.01
"151",4465,"LEGO The Hobbit","Action-Adventure","PC",0.05,0,0,0.05,0,2014,0.05
"152",700,"LEGO The Hobbit","Action-Adventure","PS4",0.62,0.14,0.01,0.39,0.1,2014,0.63
"153",710,"LEGO The Hobbit","Action-Adventure","XOne",0.27,0.13,0.01,0.13,0.02,2014,0.28
"154",4934,"Life is Strange","Adventure","PC",0.05,0.01,0,0.04,0,2016,0.05
"155",4820,"Life is Strange","Adventure","PS4",0.37,0.11,0.05,0.16,0.05,2016,0.37
"156",4875,"Life is Strange","Adventure","XOne",0.12,0.08,0,0.03,0.01,2016,0.12
"157",5152,"Mass Effect: Andromeda","Role-Playing","PC",0.13,0.04,0,0.08,0.01,2017,0.13
"158",830,"Mass Effect: Andromeda","Role-Playing","PS4",1.49,0.58,0.01,0.67,0.25,2017,1.5
"159",6616,"Mass Effect: Andromeda","Role-Playing","XOne",0.78,0.5,0.01,0.2,0.07,2017,0.77
"160",4388,"Middle-Earth: Shadow of Mordor","Action","PC",0.37,0.14,0,0.2,0.03,2014,0.37
"161",4318,"Middle-Earth: Shadow of Mordor","Action","PS4",3.19,1.03,0.05,1.6,0.51,2014,3.19
"162",4326,"Middle-Earth: Shadow of Mordor","Action","XOne",1.42,0.77,0.01,0.52,0.12,2014,1.42
"163",862,"Middle-Earth: Shadow of War","Action","PC",0.07,0.03,0.01,0.04,0.01,2017,0.08
