"","X","Name","Genre","Platform","Global_Sales","NA_Sales","JP_Sales","PAL_Sales","Other_Sales","Year","Total_Sales"
"164",829,"Middle-Earth: Shadow of War","Action","PS4",2.04,0.82,0.00999999999999979,0.84,0.33,2017,2.05
"165",5062,"Middle-Earth: Shadow of War","Action","XOne",1.15,0.75,0,0.29,0.11,2017,1.15
"166",5298,"Minecraft: Story Mode - Season Two","Adventure","PC",0.02,0,0,0.02,0,2017,0.02
"167",5168,"Minecraft: Story Mode - Season Two","Adventure","PS4",0.11,0.09,0,0,0.02,2017,0.11
"168",5111,"Minecraft: Story Mode - Season Two","Adventure","XOne",0.27,0.17,0,0.08,0.02,2017,0.27
"169",4902,"Mirror's Edge Catalyst","Platform","PC",0.08,0.01,0,0.06,0.01,2016,0.08
"170",6569,"Mirror's Edge Catalyst","Platform","PS4",0.42,0.13,0.01,0.19,0.06,2016,0.41
"171",4851,"Mirror's Edge Catalyst","Platform","XOne",0.19,0.11,0,0.06,0.02,2016,0.19
"172",4688,"Mortal Kombat X","Fighting","PC",0.05,0.01,0,0.04,0,2015,0.05
"173",4526,"Mortal Kombat X","Fighting","PS4",3.49,1.94,0,0.94,0.61,2015,3.49
"174",731,"Mortal Kombat X","Fighting","XOne",1.74,1.34,0.01,0.23,0.18,2015,1.75
"175",4758,"MX vs. ATV Supercross Encore","Sports","PC",0.01,0,0,0.01,0,2015,0.01
"176",4676,"MX vs. ATV Supercross Encore","Sports","PS4",0.06,0,0,0.05,0.01,2015,0.06
"177",4678,"MX vs. ATV Supercross Encore","Sports","XOne",0.06,0.05,0,0,0.01,2015,0.06
"178",5025,"MXGP 2","Racing","PC",0.01,0,0,0.01,0,2016,0.01
"179",6582,"MXGP 2","Racing","PS4",0.14,0.05,0.01,0.06,0.02,2016,0.13
"180",4889,"MXGP 2","Racing","XOne",0.1,0.07,0,0.02,0.01,2016,0.1
"181",760,"NBA 2K16","Sports","PC",0.12,0.05,0.01,0.07,0.01,2015,0.13
"182",4524,"NBA 2K16","Sports","PS4",3.98,2.56,0.05,0.66,0.71,2015,3.98
"183",4532,"NBA 2K16","Sports","XOne",2.41,2.01,0,0.15,0.25,2015,2.41
"184",4974,"NBA 2K17","Sports","PC",0.03,0,0,0.03,0,2016,0.03
"185",772,"NBA 2K17","Sports","PS4",3.52,2.28,0.00999999999999979,0.59,0.63,2016,3.53
"186",6558,"NBA 2K17","Sports","XOne",2.04,1.7,0.0100000000000002,0.12,0.21,2016,2.03
"187",4942,"Need for Speed (2015)","Racing","PC",0.05,0,0,0.05,0,2016,0.05
"188",4528,"Need for Speed (2015)","Racing","PS4",2.72,0.59,0.06,1.66,0.41,2015,2.72
"189",4559,"Need for Speed (2015)","Racing","XOne",0.74,0.35,0,0.33,0.06,2015,0.74
"190",4244,"Need for Speed Rivals","Racing","PC",0.25,0.04,0,0.19,0.02,2013,0.25
"191",4198,"Need for Speed Rivals","Racing","PS4",2.17,0.75,0.03,1.04,0.35,2013,2.17
"192",671,"Need for Speed Rivals","Racing","XOne",0.7,0.45,0.01,0.19,0.07,2013,0.71
"193",5297,"Need for Speed: Payback","Racing","PC",0.02,0,0,0.02,0,2017,0.02
"194",5053,"Need for Speed: Payback","Racing","PS4",2.18,0.62,0.04,1.18,0.34,2017,2.18
"195",5068,"Need for Speed: Payback","Racing","XOne",0.73,0.42,0,0.24,0.07,2017,0.73
"196",4789,"Overwatch","Shooter","PC",0.92,0.37,0,0.48,0.07,2016,0.92
"197",4772,"Overwatch","Shooter","PS4",4.54,1.84,0.17,1.8,0.73,2016,4.54
"198",4777,"Overwatch","Shooter","XOne",2.72,1.63,0,0.84,0.25,2016,2.72
"199",4279,"Payday 2","Shooter","PC",0.05,0.04,0,0,0.01,2013,0.05
"200",6526,"Payday 2","Shooter","PS4",0.32,0.12,0.01,0.14,0.05,2015,0.31
"201",4607,"Payday 2","Shooter","XOne",0.23,0.14,0,0.07,0.02,2015,0.23
"202",4482,"Plants vs Zombies: Garden Warfare","Shooter","PC",0.02,0,0,0.02,0,2014,0.02
"203",4356,"Plants vs Zombies: Garden Warfare","Shooter","PS4",0.66,0.24,0.01,0.3,0.11,2014,0.66
"204",6485,"Plants vs Zombies: Garden Warfare","Shooter","XOne",0.71,0.39,0.01,0.25,0.06,2014,0.7
"205",4936,"Plants vs. Zombies: Garden Warfare 2","Shooter","PC",0.05,0.01,0,0.04,0,2016,0.05
"206",4800,"Plants vs. Zombies: Garden Warfare 2","Shooter","PS4",0.63,0.22,0,0.31,0.1,2016,0.63
"207",784,"Plants vs. Zombies: Garden Warfare 2","Shooter","XOne",0.86,0.47,0.01,0.32,0.08,2016,0.87
"208",4460,"Pro Evolution Soccer 2015","Sports","PC",0.06,0,0,0.06,0,2014,0.06
"209",4345,"Pro Evolution Soccer 2015","Sports","PS4",0.76,0.09,0.12,0.45,0.1,2014,0.76
"210",4427,"Pro Evolution Soccer 2015","Sports","XOne",0.15,0.04,0,0.1,0.01,2014,0.15
"211",6545,"Pro Evolution Soccer 2016","Sports","PC",0.05,0,0.01,0.04,0,2015,0.04
"212",6517,"Pro Evolution Soccer 2016","Sports","PS4",0.82,0.14,0.0099999999999999,0.43,0.1,2015,0.81
"213",4643,"Pro Evolution Soccer 2016","Sports","XOne",0.12,0.05,0,0.06,0.01,2015,0.12
"214",4972,"Pro Evolution Soccer 2017","Sports","PC",0.03,0,0,0.03,0,2016,0.03
"215",787,"Pro Evolution Soccer 2017","Sports","PS4",0.75,0.08,0.01,0.41,0.09,2016,0.76
"216",6588,"Pro Evolution Soccer 2017","Sports","XOne",0.1,0.05,0.01,0.03,0.01,2016,0.09
"217",5334,"Pro Evolution Soccer 2018","Sports","PC",0.01,0,0,0.01,0,2017,0.01
"218",837,"Pro Evolution Soccer 2018","Sports","PS4",0.75,0.12,0.01,0.36,0.09,2017,0.76
"219",5164,"Pro Evolution Soccer 2018","Sports","XOne",0.12,0.06,0,0.05,0.01,2017,0.12
"220",4636,"Project CARS","Racing","PC",0.13,0,0,0.12,0.01,2015,0.13
"221",4544,"Project CARS","Racing","PS4",1.28,0.29,0.04,0.76,0.19,2015,1.28
"222",4581,"Project CARS","Racing","XOne",0.41,0.21,0,0.16,0.04,2015,0.41
"223",4720,"Ride","Racing","PC",0.03,0,0,0.03,0,2015,0.03
"224",6532,"Ride","Racing","PS4",0.24,0.04,0.00999999999999998,0.13,0.03,2015,0.23
"225",4645,"Ride","Racing","XOne",0.11,0.05,0,0.05,0.01,2015,0.11
"226",5005,"Ride 2","Racing","PC",0.02,0,0,0.02,0,2016,0.02
"227",853,"Ride 2","Racing","PS4",0.16,0.07,0.01,0.06,0.03,2017,0.17
"228",5189,"Ride 2","Racing","XOne",0.08,0.06,0,0.01,0.01,2017,0.08
"229",4641,"Rocket League","Sports","PC",0.12,0.03,0,0.08,0.01,2015,0.12
"230",4779,"Rocket League","Sports","PS4",2.02,0.37,0,1.34,0.31,2016,2.02
"231",4782,"Rocket League","Sports","XOne",1.38,0.52,0,0.75,0.11,2016,1.38
"232",6565,"Rocksmith 2014","Music","PC",0.7,0.39,0.01,0.24,0.06,2016,0.69
"233",4798,"Rocksmith 2014","Music","PS4",0.67,0.38,0,0.17,0.12,2016,0.67
"234",4814,"Rocksmith 2014","Music","XOne",0.43,0.31,0,0.08,0.04,2016,0.43
"235",4753,"Rugby World Cup 2015","Sports","PC",0.01,0,0,0.01,0,2015,0.01
"236",4683,"Rugby World Cup 2015","Sports","PS4",0.06,0,0,0.05,0.01,2015,0.06
"237",4729,"Rugby World Cup 2015","Sports","XOne",0.02,0,0,0.02,0,2015,0.02
"238",5042,"Sebastien Loeb Rally EVO","Racing","PC",0.01,0,0,0.01,0,2016,0.01
"239",4946,"Sebastien Loeb Rally EVO","Racing","PS4",0.05,0,0,0.04,0.01,2016,0.05
"240",5034,"Sebastien Loeb Rally EVO","Racing","XOne",0.01,0,0,0.01,0,2016,0.01
"241",4507,"Sniper Elite III","Shooter","PC",0.01,0,0,0.01,0,2014,0.01
"242",4348,"Sniper Elite III","Shooter","PS4",0.74,0.25,0,0.37,0.12,2014,0.74
"243",4380,"Sniper Elite III","Shooter","XOne",0.43,0.27,0,0.12,0.04,2014,0.43
"244",4910,"Song of the Deep","Action","PC",0.07,0.06,0,0,0.01,2016,0.07
"245",4861,"Song of the Deep","Action","PS4",0.15,0.12,0,0,0.03,2016,0.15
"246",4873,"Song of the Deep","Action","XOne",0.13,0.12,0,0,0.01,2016,0.13
"247",4415,"South Park: The Stick of Truth","Role-Playing","PC",0.19,0.07,0,0.1,0.02,2014,0.19
"248",919,"South Park: The Stick of Truth","Role-Playing","PS4",0.03,0.03,0.01,0,0.01,2018,0.04
"249",5590,"South Park: The Stick of Truth","Role-Playing","XOne",0.02,0.02,0,0,0,2018,0.02
"250",744,"Star Wars Battlefront (2015)","Shooter","PC",0.49,0.13,0.01,0.33,0.04,2015,0.5
"251",4518,"Star Wars Battlefront (2015)","Shooter","PS4",8.03,3.31,0.23,3.19,1.3,2015,8.03
"252",4523,"Star Wars Battlefront (2015)","Shooter","XOne",4.15,2.49,0.02,1.26,0.38,2015,4.15
"253",6644,"Star Wars Battlefront II (2017)","Shooter","PC",0.05,0.02,0.01,0.02,0,2017,0.04
"254",823,"Star Wars Battlefront II (2017)","Shooter","PS4",4.53,1.7,0.00999999999999979,1.99,0.73,2017,4.54
"255",6609,"Star Wars Battlefront II (2017)","Shooter","XOne",1.92,1.15,0.01,0.59,0.17,2017,1.91
"256",5252,"Syberia III","Role-Playing","PC",0.04,0.02,0,0.02,0,2017,0.04
"257",4944,"Syberia III","Adventure","PS4",0.05,0.04,0,0,0.01,2016,0.05
"258",5290,"Syberia III","Adventure","XOne",0.02,0.02,0,0,0,2017,0.02
"259",4501,"The Amazing Spider-Man 2 (2014)","Action-Adventure","PC",0.01,0,0,0.01,0,2014,0.01
"260",702,"The Amazing Spider-Man 2 (2014)","Action-Adventure","PS4",0.56,0.2,0.0099999999999999,0.26,0.09,2014,0.57
"261",4409,"The Amazing Spider-Man 2 (2014)","Action-Adventure","XOne",0.22,0.12,0,0.08,0.02,2014,0.22
"262",4428,"The Crew","Racing","PC",0.15,0,0,0.14,0.01,2014,0.15
"263",6477,"The Crew","Racing","PS4",1.79,0.44,0.01,1.04,0.27,2014,1.78
"264",699,"The Crew","Racing","XOne",0.71,0.32,0.01,0.34,0.06,2014,0.72
"265",4735,"The Crew: Wild Run","Racing","PC",0.02,0,0,0.02,0,2015,0.02
"266",4633,"The Crew: Wild Run","Racing","PS4",0.14,0,0,0.12,0.02,2015,0.14
"267",4730,"The Crew: Wild Run","Racing","XOne",0.02,0,0,0.02,0,2015,0.02
"268",5023,"The Dwarves","Role-Playing","PC",0.01,0,0,0.01,0,2016,0.01
"269",821,"The Dwarves","Role-Playing","PS4",0.03,0.03,0.01,0,0.01,2016,0.04
"270",5004,"The Dwarves","Role-Playing","XOne",0.02,0.02,0,0,0,2016,0.02
"271",5234,"The Elder Scrolls Online: Morrowind","MMO","PC",0.05,0.02,0,0.03,0,2017,0.05
"272",5117,"The Elder Scrolls Online: Morrowind","MMO","PS4",0.24,0.11,0,0.09,0.04,2017,0.24
"273",6634,"The Elder Scrolls Online: Morrowind","MMO","XOne",0.14,0.09,0.01,0.03,0.01,2017,0.13
"274",5620,"The Elder Scrolls Online: Summerset","MMO","PC",0.01,0,0,0.01,0,2018,0.01
"275",5458,"The Elder Scrolls Online: Summerset","MMO","PS4",0.1,0.08,0,0,0.02,2018,0.1
"276",5452,"The Elder Scrolls Online: Summerset","MMO","XOne",0.11,0.09,0,0.01,0.01,2018,0.11
"277",4313,"The Sims 4","Simulation","PC",4.1,1.2,0,2.6,0.3,2014,4.1
"278",5059,"The Sims 4","Simulation","PS4",1.39,0.44,0.01,0.72,0.22,2017,1.39
"279",5067,"The Sims 4","Simulation","XOne",0.73,0.42,0,0.24,0.07,2017,0.73
"280",6579,"Titanfall 2","Shooter","PC",0.2,0.06,0.01,0.12,0.01,2016,0.19
"281",6560,"Titanfall 2","Shooter","PS4",1.72,0.75,0.01,0.62,0.28,2016,1.71
"282",780,"Titanfall 2","Shooter","XOne",1.37,0.88,0.00999999999999979,0.37,0.13,2016,1.38
"283",5256,"Tom Clancy's Ghost Recon Wildlands","Shooter","PC",0.04,0,0,0.04,0,2017,0.04
"284",6607,"Tom Clancy's Ghost Recon Wildlands","Shooter","PS4",3.12,1.07,0.0100000000000002,1.35,0.47,2017,3.11
"285",5056,"Tom Clancy's Ghost Recon Wildlands","Shooter","XOne",1.61,0.98,0,0.48,0.15,2017,1.61
"286",4594,"Tom Clancy's Rainbow Six: Siege","Shooter","PC",0.3,0.18,0,0.09,0.03,2015,0.3
"287",6509,"Tom Clancy's Rainbow Six: Siege","Shooter","PS4",4.36,1.29,0.0100000000000007,2.06,0.64,2015,4.35
"288",4529,"Tom Clancy's Rainbow Six: Siege","Shooter","XOne",2.71,1.62,0,0.84,0.25,2015,2.71
"289",4809,"Tom Clancy's The Division","Shooter","PC",0.48,0.26,0,0.18,0.04,2016,0.48
"290",771,"Tom Clancy's The Division","Shooter","PS4",4.37,1.49,0.00999999999999979,2.04,0.69,2016,4.38
"291",774,"Tom Clancy's The Division","Shooter","XOne",2.59,1.54,0.0100000000000002,0.82,0.24,2016,2.6
"292",5319,"Torment: Tides of Numenera","Role-Playing","PC",0.02,0,0,0.02,0,2017,0.02
"293",5322,"Torment: Tides of Numenera","Role-Playing","PS4",0.01,0.01,0,0,0,2017,0.01
"294",5346,"Torment: Tides of Numenera","Role-Playing","XOne",0.01,0.01,0,0,0,2017,0.01
"295",5024,"TrackMania Turbo","Racing","PC",0.01,0,0,0.01,0,2016,0.01
"296",6567,"TrackMania Turbo","Racing","PS4",0.47,0.04,0.00999999999999995,0.35,0.07,2016,0.46
"297",4892,"TrackMania Turbo","Racing","XOne",0.1,0.05,0,0.04,0.01,2016,0.1
"298",4711,"Transformers: Devastation","Action","PC",0.03,0,0,0.03,0,2015,0.03
"299",4605,"Transformers: Devastation","Action","PS4",0.24,0.11,0,0.09,0.04,2015,0.24
"300",4629,"Transformers: Devastation","Action","XOne",0.15,0.1,0,0.04,0.01,2015,0.15
"301",4712,"Trials Fusion","Misc","PC",0.03,0,0,0.03,0,2015,0.03
"302",706,"Trials Fusion","Misc","PS4",0.43,0.13,0.01,0.23,0.07,2014,0.44
"303",6531,"Trials Fusion","Racing","XOne",0.25,0.12,0.01,0.1,0.02,2015,0.24
"304",4634,"Tropico 5","Simulation","PC",0.14,0.04,0,0.09,0.01,2015,0.14
"305",4585,"Tropico 5","Simulation","PS4",0.38,0.07,0.08,0.18,0.05,2015,0.38
"306",5016,"Tropico 5","Simulation","XOne",0.02,0.02,0,0,0,2016,0.02
"307",5021,"Valentino Rossi: The Game","Racing","PC",0.02,0,0,0.02,0,2016,0.02
"308",6584,"Valentino Rossi: The Game","Racing","PS4",0.13,0.05,0.01,0.05,0.02,2016,0.12
"309",815,"Valentino Rossi: The Game","Racing","XOne",0.07,0.05,0.01,0.02,0.01,2016,0.08
"310",6660,"Vikings: Wolves of Midgard","Action","PC",0.02,0.01,0.01,0,0,2017,0.01
"311",874,"Vikings: Wolves of Midgard","Action","PS4",0.04,0.03,0.01,0.01,0.01,2017,0.05
"312",6662,"Vikings: Wolves of Midgard","Action","XOne",0.02,0.01,0.01,0,0,2017,0.01
"313",5670,"Wasteland 2","Misc","PC",0.13,0.06,0,0.06,0.01,2020,0.13
"314",4628,"Wasteland 2","Role-Playing","PS4",0.15,0.1,0.03,0,0.02,2015,0.15
"315",765,"Wasteland 2","Role-Playing","XOne",0.06,0.05,0.01,0.01,0.01,2015,0.07
"316",703,"Watch Dogs","Action-Adventure","PC",0.49,0.19,0.01,0.27,0.04,2014,0.5
"317",4311,"Watch Dogs","Action-Adventure","PS4",4.32,1.4,0.11,2.13,0.68,2014,4.32
"318",693,"Watch Dogs","Action-Adventure","XOne",1.64,0.91,0.01,0.59,0.15,2014,1.65
"319",4762,"WRC 5: FIA World Rally Championship","Racing","PC",0.01,0,0,0.01,0,2015,0.01
"320",4685,"WRC 5: FIA World Rally Championship","Racing","PS4",0.06,0,0,0.05,0.01,2015,0.06
"321",6550,"WRC 5: FIA World Rally Championship","Racing","XOne",0.02,0,0.01,0.01,0,2015,0.01
"322",6599,"WRC 6","Racing","PC",0.02,0,0.01,0.01,0,2016,0.01
"323",6640,"WRC 6","Racing","PS4",0.08,0.03,0.01,0.02,0.01,2017,0.07
"324",5266,"WRC 6","Racing","XOne",0.03,0.03,0,0,0,2017,0.03
"325",6527,"XCOM 2","Strategy","PC",0.31,0.12,0.01,0.16,0.02,2015,0.3
"326",4830,"XCOM 2","Strategy","PS4",0.31,0.16,0,0.1,0.05,2016,0.31
"327",4852,"XCOM 2","Strategy","XOne",0.19,0.15,0,0.02,0.02,2016,0.19
